url,page_type,locale,inbound_links,unique_inbound_pages,crawl_depth,hub_membership,related_tool_links,related_guide_links,related_workflow_links,status
https://funnytools.win/en/tools/character-counter/,tool,en,31,31,1,/en/category/text/;/en/;/en/tools/,13,4,2,OK
https://funnytools.win/en/tools/class-rank-percentile-calculator/,tool,en,14,14,1,/en/category/statistics/;/en/;/en/tools/,12,1,0,OK
https://funnytools.win/en/tools/color-generator/,tool,en,13,13,1,/en/category/random/;/en/;/en/tools/,13,0,1,OK
https://funnytools.win/en/tools/compound-interest/,tool,en,13,13,1,/en/category/money/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/countdown-timer/,tool,en,21,21,1,/en/category/time/;/en/;/en/tools/,13,4,2,OK
https://funnytools.win/en/tools/cronbach-alpha-calculator/,tool,en,7,7,1,/en/category/statistics/;/en/;/en/tools/,12,0,0,OK
https://funnytools.win/en/tools/csv-to-json/,tool,en,12,12,1,/en/category/text/;/en/;/en/tools/,13,3,0,OK
https://funnytools.win/en/tools/date-difference/,tool,en,16,16,1,/en/category/time/;/en/;/en/tools/,13,0,1,OK
https://funnytools.win/en/tools/delete-pdf-pages/,tool,en,14,14,1,/en/category/pdf/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/dice-roller/,tool,en,15,15,1,/en/category/random/;/en/;/en/tools/,13,1,1,OK
https://funnytools.win/en/tools/extract-pdf-pages/,tool,en,15,15,1,/en/category/pdf/;/en/;/en/tools/,13,4,0,OK
https://funnytools.win/en/tools/flowchart/,tool,en,12,12,1,/en/category/draw/;/en/;/en/tools/,13,0,0,OK
https://funnytools.win/en/tools/gpa-calculator/,tool,en,14,14,1,/en/category/study/;/en/;/en/tools/,12,1,0,OK
https://funnytools.win/en/tools/grade-average/,tool,en,23,23,1,/en/category/statistics/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/group-generator/,tool,en,23,23,1,/en/category/study/;/en/;/en/tools/,13,4,1,OK
https://funnytools.win/en/tools/image-compressor/,tool,en,40,40,1,/en/category/image/;/en/;/en/tools/,13,4,2,OK
https://funnytools.win/en/tools/image-crop/,tool,en,16,16,1,/en/category/image/;/en/;/en/tools/,13,4,0,OK
https://funnytools.win/en/tools/image-resizer/,tool,en,37,37,1,/en/category/image/;/en/;/en/tools/,13,4,1,OK
https://funnytools.win/en/tools/image-rotate-flip/,tool,en,9,9,1,/en/category/image/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/image-to-base64/,tool,en,10,10,1,/en/category/image/;/en/;/en/tools/,13,1,0,OK
https://funnytools.win/en/tools/image-to-dxf/,tool,en,9,9,1,/en/category/draw/;/en/;/en/tools/,11,0,0,OK
https://funnytools.win/en/tools/images-to-pdf/,tool,en,18,18,1,/en/category/pdf/;/en/;/en/tools/,13,4,0,OK
