url,google_status,google_canonical,user_canonical,canonical_category,coverage_state,tool_slug,functional_signature,similarity_pair_count,max_boilerplate_adjusted_similarity,intent_relationships,inspection_result_link
https://funnytools.win/es/guias/interaccion-anova-dos-factores/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.831,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=yTJuEPFzgn7U9Sni1Zw5PQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/kb-mb-gb-tb-conversion/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=oyD4TaLJhkAvHja3jdRqzA&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/limite-palabras-ensayos-examenes/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.836,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=7wWSoEemnJ2UWPSVmdYAKw&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/prueba-levene-spss/,Crawled Not Indexed,https://funnytools.win/es/guias/prueba-levene-spss/,https://funnytools.win/es/guias/prueba-levene-spss/,SELF_MATCH,Rastreada: actualmente sin indexar,,,2,0.88,COMPLEMENTARY; DIFFERENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=lshpTiFUcAcDi2eGG4S2fQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/prueba-t-formato-apa-7/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,6,0.836,COMPLEMENTARY; DIFFERENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=zFwjR0YXPKVUHUpLzZ-2nQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/puntuacion-t-interpretacion/,Crawled Not Indexed,https://funnytools.win/es/guias/puntuacion-t-interpretacion/,https://funnytools.win/es/guias/puntuacion-t-interpretacion/,SELF_MATCH,Rastreada: actualmente sin indexar,,,1,0.857,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qYTWsmZpQ6p-uESueTkHaQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/puntuacion-z-interpretacion/,Crawled Not Indexed,https://funnytools.win/es/guias/puntuacion-z-interpretacion/,https://funnytools.win/es/guias/puntuacion-z-interpretacion/,SELF_MATCH,Rastreada: actualmente sin indexar,,,1,0.825,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=lJveahFjP0sa1lG_GsI61A&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/rango-percentil-interpretacion/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.875,COMPLEMENTARY,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=nmNT33CMguocd1tcmd5z8w&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/ruleta-sorteos-clase/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,4,0.812,ADJACENT; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qaYPQpzyvyOuSi6lWdnMAQ&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/selector-aleatorio-alumnos/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.798,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eVJQ_IuaKa6fELzSDWTo1w&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/temporizador-clase/,Crawled Not Indexed,https://funnytools.win/es/guias/temporizador-clase/,https://funnytools.win/es/guias/temporizador-clase/,SELF_MATCH,Rastreada: actualmente sin indexar,,,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=cnqJYC7g6uOXivnP6MP1-w&utm_medium=link&utm_source=api
https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,9,0.875,ADJACENT; COMPLEMENTARY; UNKNOWN,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=NJX_Q_9GkwSp6a-UWb29GA&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,,,1,0.884,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=rEC2aZfzorvyHZTEhz8kaQ&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/cad-2d-online/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,cad-2d,use|cad-2d|cad-2d|tool-result|cad-2d|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=jfq24JE0P-GSTGj85P0bUg&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,Crawled Not Indexed,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,https://funnytools.win/es/herramientas/calculadora-alfa-cronbach/,SELF_MATCH,Rastreada: actualmente sin indexar,cronbach-alpha-calculator,calculate|cronbach-alpha|cronbach-alpha|calculated-result|cronbach-alpha|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Bay-G47wIz5sndaIBn-2CQ&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-de-edad/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,age-calculator,calculate|age|age|calculated-result|age|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=NUyzDt-5fTgMbncPxADrUw&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,Crawled Not Indexed,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,https://funnytools.win/es/herramientas/calculadora-desviacion-estandar/,SELF_MATCH,Rastreada: actualmente sin indexar,standard-deviation,calculate|raw-scores|summary-statistics|mean-variance-standard-deviation|descriptive-statistics|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=SI9Jmm8zGePStOVv7jar5Q&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-dias-laborables/,Crawled Not Indexed,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,https://funnytools.win/es/herramientas/calculadora-dias-laborables/,SELF_MATCH,Rastreada: actualmente sin indexar,business-days,use|business-days|business-days|tool-result|business-days|general,1,0.825,ADJACENT,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=qWi3F_PmLpqnqZgm7_emNg&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-gpa/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,gpa-calculator,calculate|gpa|gpa|calculated-result|gpa|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=vpbNkhmXyroO3e5g68R7zQ&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-hipoteca/,Crawled Not Indexed,https://funnytools.win/es/herramientas/calculadora-hipoteca/,https://funnytools.win/es/herramientas/calculadora-hipoteca/,SELF_MATCH,Rastreada: actualmente sin indexar,mortgage-payment,use|mortgage-payment|mortgage-payment|tool-result|mortgage-payment|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=Ri1LiBDXwDIRrEk5-hApiA&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-horas-extra/,Unknown,,,GOOGLE_CANONICAL_ABSENT,Google no reconoce esta URL,overtime-pay,use|overtime-pay|overtime-pay|tool-result|overtime-pay|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=yfswA1_XJ0WKzq31ZICNsg&utm_medium=link&utm_source=api
https://funnytools.win/es/herramientas/calculadora-inflacion/,Crawled Not Indexed,https://funnytools.win/es/herramientas/calculadora-inflacion/,https://funnytools.win/es/herramientas/calculadora-inflacion/,SELF_MATCH,Rastreada: actualmente sin indexar,inflation,use|inflation|inflation|tool-result|inflation|general,0,,,https://search.google.com/search-console/inspect?resource_id=sc-domain:funnytools.win&id=eNmXfpMMYxlU-VRnnTME7g&utm_medium=link&utm_source=api
